1,1745981460.5622807,nan
2,1745981461.5741715,nan
3,1745981462.6011696,nan
4,1745981463.6133497,nan
5,1745981464.6398666,nan
6,1745981465.6544304,nan
7,1745981466.6800394,nan
8,1745981467.6921155,nan
9,1745981468.712095,nan
10,1745981469.7390325,nan
11,1745981470.761688,nan
12,1745981471.7845376,nan
13,1745981472.8036535,nan
14,1745981473.8255014,nan
15,1745981474.8401446,nan
16,1745981475.9164412,nan
17,1745981476.932487,nan
18,1745981477.94627,nan
19,1745981478.9698153,nan
20,1745981479.9811883,nan
21,1745981480.9958699,nan
22,1745981482.0150814,nan
23,1745981483.0389102,nan
24,1745981484.0589507,nan
25,1745981485.0745368,nan
26,1745981486.0859382,nan
27,1745981487.116567,nan
28,1745981488.1430292,nan
29,1745981489.1657271,nan
30,1745981490.1916509,nan
31,1745981491.2181096,nan
32,1745981492.2310538,nan
33,1745981493.2530773,nan
34,1745981494.2782133,nan
35,1745981495.3042345,nan
36,1745981496.3251333,nan
37,1745981497.350832,nan
38,1745981498.3633597,nan
39,1745981499.3769302,nan
40,1745981500.4030797,nan
41,1745981501.4289079,nan
42,1745981502.4421544,nan
43,1745981503.4674408,nan
44,1745981504.4936748,nan
45,1745981505.5191505,nan
46,1745981506.6070204,nan
47,1745981507.618742,nan
48,1745981508.6399393,nan
49,1745981509.6628284,nan
50,1745981510.6830714,nan
51,1745981511.7096121,nan
52,1745981512.724114,nan
53,1745981513.7481854,nan
54,1745981514.7716212,nan
55,1745981515.7867928,nan
56,1745981516.8118362,nan
57,1745981517.825148,nan
58,1745981518.851397,nan
59,1745981519.8640337,nan
60,1745981520.8903565,nan
61,1745981521.9034235,nan
62,1745981522.9227145,nan
63,1745981523.941926,nan
64,1745981524.9680483,nan
65,1745981525.993021,nan
66,1745981527.01824,nan
67,1745981528.0398097,nan
68,1745981529.0619164,nan
69,1745981530.0811877,nan
70,1745981531.1056046,nan
71,1745981532.1329882,nan
72,1745981533.1465425,nan
73,1745981534.1730344,nan
74,1745981535.185365,nan
75,1745981536.2724986,nan
76,1745981537.2841702,nan
77,1745981538.3076365,nan
78,1745981539.3188748,nan
79,1745981540.341643,nan
80,1745981541.3658545,nan
81,1745981542.3889399,nan
82,1745981543.4138954,nan
83,1745981544.436796,nan
84,1745981545.449543,nan
85,1745981546.4745078,nan
86,1745981547.5008352,nan
87,1745981548.526275,nan
88,1745981549.546199,nan
89,1745981550.568873,nan
90,1745981551.5944035,nan
91,1745981552.620731,nan
92,1745981553.647035,nan
93,1745981554.6634932,nan
94,1745981555.685754,nan
95,1745981556.7111228,nan
96,1745981557.737352,nan
97,1745981558.750533,nan
98,1745981559.7747283,nan
99,1745981560.799062,nan
100,1745981561.8140182,nan
101,1745981562.8379743,nan
102,1745981563.8549569,nan
103,1745981564.8815384,nan
104,1745981565.9070385,nan
105,1745981566.9973066,nan
106,1745981568.0228286,nan
107,1745981569.0487418,nan
108,1745981570.0631306,nan
109,1745981571.087565,nan
110,1745981572.1014576,nan
111,1745981573.114219,nan
112,1745981574.1276503,nan
113,1745981575.147996,nan
114,1745981576.1653383,nan
115,1745981577.1911607,nan
116,1745981578.2047598,nan
117,1745981579.2269363,nan
118,1745981580.2399316,nan
119,1745981581.2535186,nan
120,1745981582.2667456,nan
121,1745981583.2810884,nan
122,1745981584.2969,nan
123,1745981585.320861,nan
124,1745981586.3445876,nan
125,1745981587.3711224,nan
126,1745981588.394366,nan
127,1745981589.4191148,nan
128,1745981590.445515,nan
129,1745981591.47009,nan
130,1745981592.4917893,nan
131,1745981593.5137286,nan
132,1745981594.526458,nan
133,1745981595.5469975,nan
134,1745981596.5615366,nan
135,1745981598.6940813,nan
136,1745981599.7143447,nan
137,1745981600.7389703,nan
138,1745981601.7653928,nan
139,1745981602.7910903,nan
140,1745981603.816879,nan
141,1745981604.8332717,nan
142,1745981605.8467255,nan
143,1745981606.8658738,nan
144,1745981607.8948915,nan
145,1745981608.9076867,nan
146,1745981609.9330812,nan
147,1745981610.9586396,nan
148,1745981611.9717348,nan
149,1745981612.9910922,nan
150,1745981614.0057762,nan
151,1745981615.029952,nan
152,1745981616.05281,nan
153,1745981617.0680146,nan
154,1745981618.0887392,nan
155,1745981619.100853,nan
156,1745981620.1163895,nan
157,1745981621.1413796,nan
