ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,6.161481142044067,1.1635887730615178,0.6
3,10.0.4.21,3.852367401123047,*,0.95
4,10.0.3.1,7.676184177398682,2.4435498605723533,0.8
5,172.30.21.1,5.4183244705200195,1.7911558555548608,0.0
6,183.241.252.1,6.924140453338623,4.670379413508997,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.101,8.78056458064488,1.2594056168316652,0.3
10,221.183.46.249,8.453747805427103,1.1771840779104517,0.15
11,221.183.55.105,12.113955285814074,3.884960114600133,0.1
12,223.120.12.33,184.31332111358643,1.525569822705958,0.0
13,223.120.6.54,185.2669358253479,2.1986224756521113,0.0
14,223.121.6.22,191.72399044036865,9.175512038761145,0.5
15,108.162.243.39,190.07642269134521,12.290101172651404,0.0
16,104.18.6.16,185.78932159825376,2.2571439639642996,0.05
