ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,6.1868031819661455,2.3278032412050695,0.4
3,*,*,*,1.0
4,*,*,*,1.0
5,172.30.21.1,5.351877212524414,0.39459047713302514,0.0
6,183.241.252.1,6.814289093017578,1.1821888345484939,0.0
7,221.179.158.181,6.511449813842773,*,0.8
8,221.183.39.125,7.686614990234375,*,0.8
9,221.183.89.101,7.785916328430176,0.7884632901985484,0.2
10,221.183.46.249,10.528945922851562,3.8988661410247465,0.0
11,221.183.55.105,12.646865844726562,1.4439197469887424,0.0
12,223.120.12.33,186.01155281066895,2.40319327966767,0.0
13,223.120.6.54,185.2649688720703,2.408060983625397,0.0
14,223.119.66.106,190.8503770828247,5.9347820325160106,0.6
15,108.162.243.31,189.18724060058594,6.856816358447967,0.0
16,104.18.6.16,186.51187419891357,1.1238071009480584,0.2
