ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,*,*,*,1.0
3,10.0.4.21,5.520105361938477,*,0.0
4,10.0.3.1,7.517099380493164,*,0.0
5,172.30.21.9,3.979921340942383,*,0.0
6,183.241.254.1,5.012750625610352,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.101,8.491992950439453,*,0.0
10,221.183.46.249,10.163307189941406,*,0.0
11,221.183.55.105,12.142419815063477,*,0.0
12,223.120.12.33,184.47422981262207,*,0.0
13,223.120.6.54,184.82017517089844,*,0.0
14,*,*,*,1.0
15,108.162.243.11,188.86661529541016,*,0.0
16,104.18.6.16,186.91301345825195,*,0.0
