ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,6.731973754035102,2.635499853515107,0.1
3,10.0.4.21,6.757378578186035,1.066315267325619,0.9
4,10.0.3.1,6.177504857381185,1.046952022994717,0.85
5,172.30.21.9,3.607356548309326,1.0540301590915484,0.0
6,183.241.252.1,4.599642753601074,1.3143014900193062,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.121,9.663070951189313,2.1529145188668153,0.3
10,221.183.25.202,10.321656862894693,2.076600843975432,0.1
11,221.183.55.109,12.749935451306795,5.790772790040117,0.05
12,223.120.12.33,186.18503369783102,3.619137697966138,0.05
13,223.120.6.54,186.1866593360901,1.2734034209915917,0.0
14,223.119.66.106,192.31347476734834,10.496847698994117,0.15
15,108.162.243.49,187.46743704143324,6.3645081761154945,0.05
16,104.18.7.16,189.32275772094727,10.615948140811435,0.0
17,104.18.7.16,185.33813953399658,1.5042697425093279,0.0
18,104.18.7.16,185.7716202735901,2.801596785660813,0.0
19,104.18.7.16,185.24872629266036,2.2879649837602694,0.05
20,104.18.7.16,187.70081996917725,10.594629974881004,0.0
21,104.18.7.16,183.76703011362176,2.261627648924112,0.05
22,104.18.7.16,184.02098354540374,1.285908433529192,0.05
23,104.18.7.16,184.02251444364848,1.3422887711612985,0.05
24,104.18.7.16,186.09466552734375,2.8029783337193312,0.0
25,104.18.7.16,186.47381067276,4.965198319982164,0.0
26,104.18.7.16,184.91251468658447,2.2288264337585835,0.0
27,104.18.7.16,185.8586311340332,2.4048925959297622,0.0
28,104.18.7.16,186.042446839182,2.509875123338929,0.05
29,104.18.7.16,186.5136981010437,3.894523595726176,0.0
30,104.18.7.16,185.45390367507935,2.790235161946072,0.0
