ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,12.727022171020508,*,0.0
3,*,*,*,1.0
4,*,*,*,1.0
5,172.30.21.9,5.802631378173828,*,0.0
6,183.241.254.1,8.013010025024414,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.117,9.099006652832031,*,0.0
10,221.183.46.249,7.503032684326172,*,0.0
11,221.183.55.105,10.2996826171875,*,0.0
12,223.120.12.33,180.94515800476074,*,0.0
13,223.120.6.54,184.68761444091797,*,0.0
14,223.119.66.106,186.37800216674805,*,0.0
15,108.162.243.49,183.88605117797852,*,0.0
16,104.18.7.16,182.29126930236816,*,0.0
