ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,5.254268646240234,*,0.0
3,*,*,*,1.0
4,*,*,*,1.0
5,172.30.21.9,8.145809173583984,*,0.0
6,183.241.254.1,5.849361419677734,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,*,*,*,1.0
10,221.183.46.249,12.156963348388672,*,0.0
11,221.183.55.105,12.025594711303711,*,0.0
12,223.120.12.33,186.83791160583496,*,0.0
13,223.120.6.54,185.6863498687744,*,0.0
14,223.119.66.106,187.44444847106934,*,0.0
15,108.162.243.49,185.93382835388184,*,0.0
16,104.18.7.16,184.0510368347168,*,0.0
