ttl,ip,rtt_mean,rtt_std,loss_rate
1,10.29.0.1,1329.9458026885986,*,0.95
2,10.0.28.1,9.92578618666705,3.1457343677990517,0.15
3,10.0.4.21,376.73131624857587,645.8795812072727,0.85
4,10.0.3.1,6.204724311828613,0.42467164559576825,0.9
5,172.30.21.9,4.767823219299316,1.2495707417363473,0.0
6,183.241.252.1,11.535477638244629,20.59833988785435,0.0
7,*,*,*,1.0
8,221.183.39.121,7.367849349975586,*,0.95
9,221.183.89.97,7.274627685546875,1.19363314306633,0.45
10,221.183.25.202,7.993552419874403,1.318831446624944,0.1
11,221.183.55.109,9.049499034881592,1.6785268518917642,0.0
12,223.120.12.33,185.27488708496094,1.174600352598373,0.0
13,223.120.6.54,185.41141748428345,1.8993290486988672,0.0
14,223.119.66.106,190.47040097853716,7.979447213360901,0.15
15,108.162.243.49,186.15763187408447,3.7418878351235914,0.0
16,104.18.7.16,183.5370659828186,1.2315094896029297,0.0
