ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,13.538789749145508,14.64494213144777,0.0
3,10.29.0.1,479.949951171875,*,0.8
4,*,*,*,1.0
5,172.30.21.17,5.4340362548828125,1.3688585071931332,0.0
6,183.241.254.1,6.191730499267578,1.6971566605270254,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.121,9.018480777740479,2.513843721499159,0.2
10,221.183.46.249,8.099126815795898,1.0863074748665074,0.0
11,221.183.55.109,10.876893997192383,4.150217871339046,0.0
12,223.120.12.33,185.13007164001465,2.7143352340181455,0.0
13,223.120.6.54,184.52386856079102,1.8374276765552127,0.0
14,223.119.66.106,192.08965301513672,11.165038312142427,0.0
15,108.162.243.41,186.061429977417,3.1261699356101156,0.0
16,104.18.7.16,184.08422470092773,0.42779450365274724,0.0
