ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,35.500288009643555,*,0.0
3,*,*,*,1.0
4,10.0.3.1,7.041215896606445,*,0.0
5,172.30.21.9,3.9992332458496094,*,0.0
6,183.241.254.1,7.522821426391602,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.117,14.223337173461914,*,0.0
10,221.183.46.249,10.279655456542969,*,0.0
11,221.183.55.105,20.536184310913086,*,0.0
12,223.120.12.33,186.6302490234375,*,0.0
13,223.120.6.54,189.09311294555664,*,0.0
14,*,*,*,1.0
15,108.162.243.49,185.74190139770508,*,0.0
16,104.18.7.16,182.72018432617188,*,0.0
