ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,*,*,*,1.0
3,*,*,*,1.0
4,*,*,*,1.0
5,172.30.21.9,5.603551864624023,*,0.0
6,183.241.254.1,7.5283050537109375,*,0.0
7,221.179.158.181,8.530616760253906,*,0.0
8,*,*,*,1.0
9,221.183.89.101,12.539148330688477,*,0.0
10,221.183.46.249,7.80797004699707,*,0.0
11,221.183.55.105,11.573553085327148,*,0.0
12,223.120.12.33,183.5803985595703,*,0.0
13,223.120.6.54,185.1518154144287,*,0.0
14,223.119.66.106,190.88411331176758,*,0.0
15,108.162.243.11,186.49840354919434,*,0.0
16,104.18.6.16,185.13107299804688,*,0.0
