ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,*,*,*,1.0
3,*,*,*,1.0
4,*,*,*,1.0
5,172.30.21.9,6.000041961669922,*,0.0
6,183.241.254.1,8.003950119018555,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,*,*,*,1.0
10,221.183.46.249,7.526397705078125,*,0.0
11,221.183.55.105,9.550333023071289,*,0.0
12,223.120.12.33,182.83581733703613,*,0.0
13,223.120.6.54,184.79323387145996,*,0.0
14,223.119.66.106,203.13000679016113,*,0.0
15,108.162.243.11,184.60536003112793,*,0.0
16,104.18.6.16,184.05556678771973,*,0.0
17,104.18.6.16,184.07344818115234,*,0.0
18,104.18.6.16,184.70382690429688,*,0.0
19,104.18.6.16,186.6018772125244,*,0.0
20,104.18.6.16,186.62500381469727,*,0.0
21,104.18.6.16,188.03882598876953,*,0.0
22,104.18.6.16,184.21125411987305,*,0.0
23,104.18.6.16,183.49647521972656,*,0.0
24,104.18.6.16,185.01520156860352,*,0.0
25,104.18.6.16,186.04612350463867,*,0.0
26,104.18.6.16,185.09387969970703,*,0.0
27,104.18.6.16,183.93802642822266,*,0.0
28,104.18.6.16,184.89480018615723,*,0.0
29,*,*,*,1.0
30,104.18.6.16,185.3928565979004,*,0.0
