ttl,ip,rtt_mean,loss_rate
1,???,0.0,1.0
2,???,0.0,1.0
3,???,0.0,1.0
4,???,0.0,1.0
5,172.30.21.13,5.0,0.0
6,183.241.252.1,5.0,0.0
7,???,0.0,1.0
8,???,0.0,1.0
9,???,0.0,1.0
10,221.183.46.249,6.0,0.0
11,???,0.0,1.0
12,???,0.0,1.0
13,223.120.6.54,184.0,0.0
14,223.121.6.22,186.0,0.0
15,108.162.243.39,188.0,0.0
16,???,0.0,1.0
17,104.18.6.16,183.0,0.0
18,*,*,1.0
19,*,*,1.0
20,*,*,1.0
21,*,*,1.0
22,*,*,1.0
23,*,*,1.0
24,*,*,1.0
25,*,*,1.0
26,*,*,1.0
27,*,*,1.0
28,*,*,1.0
29,*,*,1.0
30,*,*,1.0
