ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,*,*,*,1.0
3,*,*,*,1.0
4,*,*,*,1.0
5,172.30.21.1,6.277894973754883,0.8499627795491872,0.0
6,183.241.252.1,7.629966735839844,2.6147474952814016,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.101,7.946538925170898,0.9990967524721488,0.0
10,221.183.46.249,9.402036666870117,1.9903931311785998,0.0
11,221.183.55.105,10.423612594604492,1.8066433613872626,0.0
12,223.120.12.33,185.54987907409668,0.8437587130780985,0.0
13,223.120.6.54,185.40387153625488,0.8867169418353779,0.0
14,223.119.66.106,195.1580047607422,4.868803939978479,0.6
15,108.162.243.31,187.85862922668457,4.144677474529799,0.0
16,104.18.7.16,184.59081649780273,1.040415846015529,0.0
17,104.18.7.16,184.92966890335083,1.2098777255627182,0.2
18,104.18.7.16,184.89413261413574,1.812258956350764,0.0
19,104.18.7.16,184.58876609802246,1.7282485034394457,0.0
20,104.18.7.16,186.8730068206787,3.4435057452543063,0.0
21,104.18.7.16,185.8881950378418,1.8534697264449795,0.0
22,104.18.7.16,185.99772453308105,1.1046353326379281,0.0
23,104.18.7.16,185.56866645812988,1.7909735439199412,0.0
24,104.18.7.16,186.03768348693848,1.3209449599842673,0.0
25,104.18.7.16,184.84911918640137,1.3730498398496298,0.0
26,104.18.7.16,183.68449211120605,1.54582250966132,0.0
27,104.18.7.16,185.6325626373291,1.6800753058309983,0.0
28,104.18.7.16,185.65216064453125,1.9881764523506036,0.0
29,104.18.7.16,186.25459671020508,1.5143710290084094,0.0
30,104.18.7.16,185.63389778137207,0.8362377274760951,0.0
