ttl,ip,rtt_mean,loss_rate
1,???,0.0,1.0
2,10.0.28.1,14.6,0.05
3,10.0.4.21,4.2,0.75
4,10.0.3.1,4.3,0.85
5,172.30.21.13,2.9,0.0
6,183.241.252.1,5.2,0.0
7,211.136.61.165,4.0,0.95
8,???,0.0,1.0
9,221.183.89.121,8.3,0.2
10,221.183.25.202,8.1,0.0
11,221.183.55.109,9.4,0.0
12,223.120.12.33,183.1,0.0
13,223.120.6.54,184.5,0.0
14,223.119.66.106,186.5,0.35
15,108.162.243.49,186.8,0.05
16,104.18.7.16,183.3,0.0
17,*,*,1.0
18,*,*,1.0
19,*,*,1.0
20,*,*,1.0
21,*,*,1.0
22,*,*,1.0
23,*,*,1.0
24,*,*,1.0
25,*,*,1.0
26,*,*,1.0
27,*,*,1.0
28,*,*,1.0
29,*,*,1.0
30,*,*,1.0
