ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,6.70778050142176,2.521472462964797,0.15
3,10.0.4.21,6.284117698669434,1.741676367864185,0.9
4,10.0.3.1,4.798412322998047,1.7103889141392,0.85
5,172.30.21.9,5.6313213549162215,1.3384671247997866,0.05
6,183.241.252.1,6.852865219116211,1.2128194715649439,0.0
7,221.179.158.177,9.135961532592773,*,0.95
8,*,*,*,1.0
9,221.183.89.121,9.950425889756945,3.5234554640532547,0.1
10,221.183.25.202,9.228744004902087,1.1185777738208131,0.05
11,221.183.55.109,10.495938752826891,1.7704490369807826,0.05
12,223.120.12.33,184.54588651657104,1.2460222568069146,0.0
13,223.120.6.54,184.83294248580933,1.9955403554343158,0.0
14,223.119.66.106,187.7908706665039,3.02701541742297,0.15
15,108.162.243.49,185.1117491722107,3.877675423629784,0.0
16,104.18.7.16,184.39412117004395,2.248574337849105,0.1
