ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,*,*,*,1.0
3,10.0.4.21,13.616800308227539,*,0.0
4,10.0.3.1,4.572153091430664,*,0.0
5,172.30.21.9,4.004240036010742,*,0.0
6,183.241.254.1,7.533550262451172,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.117,9.169578552246094,*,0.0
10,221.183.46.249,7.759571075439453,*,0.0
11,221.183.55.105,11.05046272277832,*,0.0
12,223.120.12.33,181.58817291259766,*,0.0
13,223.120.6.54,187.99066543579102,*,0.0
14,223.119.66.106,267.4071788787842,*,0.0
15,108.162.243.49,184.22460556030273,*,0.0
16,104.18.7.16,183.7785243988037,*,0.0
