ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,3.998279571533203,*,0.0
3,10.0.4.21,4.20069694519043,*,0.0
4,*,*,*,1.0
5,172.30.21.9,4.234075546264648,*,0.0
6,183.241.254.1,6.924629211425781,*,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.117,9.092330932617188,*,0.0
10,221.183.46.249,8.528470993041992,*,0.0
11,221.183.55.105,9.72747802734375,*,0.0
12,223.120.12.33,182.41214752197266,*,0.0
13,223.120.6.54,183.2718849182129,*,0.0
14,*,*,*,1.0
15,108.162.243.49,184.39173698425293,*,0.0
16,104.18.7.16,180.99546432495117,*,0.0
