ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,4.101898935106066,0.9731274354690144,0.1
3,10.0.4.21,7.807103070345792,11.510723887983142,0.45
4,10.0.3.1,3.627300262451172,0.4784250048148757,0.8
5,172.30.21.9,3.2222986221313477,0.6139225567262292,0.0
6,183.241.252.1,4.20452356338501,0.8234721972981625,0.0
7,211.136.61.165,7.022172212600708,2.823817068043495,0.6
8,*,*,*,1.0
9,221.183.89.121,6.968164443969727,1.0110607237113545,0.0
10,221.183.25.202,7.218337059020996,1.1238389774260442,0.0
11,221.183.55.109,9.027528762817383,2.2264804768584536,0.0
12,223.120.12.33,183.40022563934326,1.5772783654282303,0.0
13,223.120.6.54,184.0083122253418,0.9577375942645888,0.0
14,223.119.66.106,187.3277723789215,4.660397116395938,0.2
15,108.162.243.49,191.34114980697632,15.361039365743181,0.0
16,104.18.7.16,184.58194732666016,1.3773247779478424,0.0
