ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,5.145168304443359,1.520762420524962,0.0
3,10.0.4.21,3.5386085510253906,0.8604700591984126,0.6
4,10.0.3.1,3.398895263671875,0.4706325380889704,0.4
5,172.30.21.17,4.612970352172852,3.902719115107981,0.0
6,183.241.254.1,4.21295166015625,0.28910838827491,0.0
7,10.29.0.1,1062.6003742218018,*,0.8
8,*,*,*,1.0
9,221.183.89.117,8.504343032836914,1.4763687698258658,0.0
10,221.183.46.249,26.054668426513672,42.2902897135836,0.0
11,221.183.55.109,8.477020263671875,1.0931945591685617,0.0
12,223.120.12.33,183.71191024780273,0.6240097592632068,0.0
13,223.120.6.54,184.59749221801758,1.388604106895818,0.0
14,223.121.6.22,184.75612004597983,1.025281956441239,0.4
15,108.162.243.41,184.28845405578613,1.8085796919896495,0.0
16,104.18.7.16,183.3831787109375,1.5826773763291424,0.0
