ttl,ip,rtt_mean,loss_rate
1,???,0.0,1.0
2,10.0.28.1,3.6,0.0
3,10.0.4.21,3.0,0.8
4,10.0.3.1,3.0,0.8
5,172.30.21.1,2.8,0.0
6,183.241.252.1,3.6,0.0
7,???,0.0,1.0
8,???,0.0,1.0
9,221.183.89.97,6.0,0.0
10,221.183.25.202,6.8,0.0
11,221.183.55.105,7.4,0.0
12,223.120.12.33,181.8,0.0
13,223.120.6.54,182.4,0.0
14,223.119.66.106,183.0,0.6
15,108.162.243.49,182.6,0.0
16,104.18.7.16,181.4,0.0
17,*,*,1.0
18,*,*,1.0
19,*,*,1.0
20,*,*,1.0
21,*,*,1.0
22,*,*,1.0
23,*,*,1.0
24,*,*,1.0
25,*,*,1.0
26,*,*,1.0
27,*,*,1.0
28,*,*,1.0
29,*,*,1.0
30,*,*,1.0
